date,stage,team_a,team_b,score_a,score_b,went_to_et,went_to_pens,winner
2026-06-16,Group,Austria,Jordan,3,1,False,False,Austria
2026-06-22,Group,Argentina,Austria,2,0,False,False,Argentina
2026-06-22,Group,Jordan,Algeria,1,2,False,False,Algeria
2026-06-27,Group,Argentina,Jordan,3,1,False,False,Argentina
2026-06-27,Group,Austria,Algeria,3,3,False,False,draw
2026-06-17,Group,Portugal,DR Congo,1,1,False,False,draw
2026-06-17,Group,Uzbekistan,Colombia,1,3,False,False,Colombia
2026-06-23,Group,Portugal,Uzbekistan,5,0,False,False,Portugal
2026-06-23,Group,Colombia,DR Congo,1,0,False,False,Colombia
2026-06-27,Group,Colombia,Portugal,0,0,False,False,draw
2026-06-27,Group,DR Congo,Uzbekistan,3,1,False,False,DR Congo
2026-06-17,Group,England,Croatia,4,2,False,False,England
2026-06-17,Group,Ghana,Panama,1,0,False,False,Ghana
2026-06-23,Group,England,Ghana,0,0,False,False,draw
2026-06-23,Group,Panama,Croatia,0,1,False,False,Croatia
2026-06-27,Group,England,Panama,2,0,False,False,England
2026-06-27,Group,Croatia,Ghana,2,1,False,False,Croatia
2026-06-28,Round of 32,Canada,South Africa,1,0,False,False,Canada
2026-06-29,Round of 32,Brazil,Japan,2,1,False,False,Brazil
2026-06-29,Round of 32,Germany,Paraguay,1,1,True,True,Paraguay
2026-06-29,Round of 32,Netherlands,Morocco,1,1,True,True,Morocco
2026-06-30,Round of 32,France,Sweden,3,0,False,False,France
2026-06-30,Round of 32,Mexico,Ecuador,2,0,False,False,Mexico
2026-06-30,Round of 32,Norway,Ivory Coast,2,1,False,False,Norway
2026-07-01,Round of 32,England,DR Congo,2,1,False,False,England
2026-07-01,Round of 32,Belgium,Senegal,3,2,True,False,Belgium
2026-07-01,Round of 32,USA,Bosnia and Herzegovina,2,0,False,False,USA
2026-07-02,Round of 32,Portugal,Croatia,2,1,False,False,Portugal
2026-07-02,Round of 32,Spain,Austria,3,0,False,False,Spain
2026-07-02,Round of 32,Switzerland,Algeria,2,0,False,False,Switzerland
2026-07-03,Round of 32,Argentina,Cape Verde,3,2,True,False,Argentina
2026-07-03,Round of 32,Australia,Egypt,1,1,True,True,Egypt
2026-07-03,Round of 32,Colombia,Ghana,1,0,False,False,Colombia
2026-07-04,Round of 16,France,Paraguay,1,0,False,False,France
2026-07-04,Round of 16,Canada,Morocco,0,3,False,False,Morocco
2026-07-05,Round of 16,Brazil,Norway,1,2,False,False,Norway
2026-07-06,Round of 16,Mexico,England,2,3,False,False,England
2026-07-06,Round of 16,Portugal,Spain,0,1,False,False,Spain
2026-07-06,Round of 16,USA,Belgium,1,4,False,False,Belgium
2026-07-07,Round of 16,Argentina,Egypt,3,2,False,False,Argentina
2026-07-07,Round of 16,Switzerland,Colombia,0,0,True,True,Switzerland
